Occupations;Code;Pekerjaan
"Director, Religious Education";SEA;"Direktur, Pendidikan Agama"
"Director, Religious Education";SRA;"Direktur, Pendidikan Agama"
"Director, Research and Development";ERI;"Direktur, Penelitian dan Pengembangan"
"Director, Special Education";SCA;"Direktur, Pendidikan Khusus"
"Director, Special Education";SEA;"Direktur, Pendidikan Khusus"
"Director, Special Education";SRA;"Direktur, Pendidikan Khusus"
"Director, Sportcast";ESR;"Direktur, Penyiar Olahraga"
"Director, Stage";AES;#N/A
"Director, Television";SCA;"Direktur, Televisi"
"Director, Television";SEA;"Direktur, Televisi"
"Director, Television";SRA;"Direktur, Televisi"
"Director, Volunteer Services";SCA;"Direktur, Layanan Relawan"
"Director, Volunteer Services";SEC;"Direktur, Layanan Relawan"
"Director, Volunteer Services";SRA;"Direktur, Layanan Relawan"
Directory Assistant Operator;CAE;Asisten Operator Direktori 
Directory Assistant Operator;CAI;Asisten Operator Direktori 
Directory Assistant Operator;CAR;Asisten Operator Direktori 
Directory Assistant Operator;CAS;Asisten Operator Direktori 
Directory Assistant Operator;CEA;Asisten Operator Direktori 
Directory Assistant Operator;CER;Asisten Operator Direktori 
Directory Assistant Operator;CSA;Asisten Operator Direktori 
"Director, Zoo";ESR;"Direktur, Kebun Binatang"
Dishwasher;RAI;Pencuci piring
Dishwasher;RCS;Pencuci piring
"Dispatcher, Chief";ESC;"Operator, Kepala"
"Dispatcher, Emergency";SCA;"Operator, Keadaan Darurat"
"Dispatcher, Emergency";SIC;"Operator, Keadaan Darurat"
"Dispatcher, Emergency";SRA;"Operator, Keadaan Darurat"
"Dispatcher, Emergency (SIC)";ICS;#N/A
"Dispatcher, Emergency (SIC)";SCI;#N/A
"Dispatcher, Maintenance Service";CAE;Operator Layanan Pemeliharaan
"Dispatcher, Maintenance Service";CAI;Operator Layanan Pemeliharaan
"Dispatcher, Maintenance Service";CAR;Operator Layanan Pemeliharaan
"Dispatcher, Maintenance Service";CAS;Operator Layanan Pemeliharaan
"Dispatcher, Maintenance Service";CEA;Operator Layanan Pemeliharaan
"Dispatcher, Maintenance Service";CES;Operator Layanan Pemeliharaan
"Dispatcher, Maintenance Service";CSA;Operator Layanan Pemeliharaan
"Dispatcher, Relay";ECR;"Operator, perlombaan estafet
"
"Dispatcher, Traffic or system";SCA;"Operator, Lalu lintas atau sistem"
"Dispatcher, Traffic or system";SEC;"Operator, Lalu lintas atau sistem"
"Dispatcher, Traffic or system";SRA;"Operator, Lalu lintas atau sistem"
"Dispatcher, Utilities Service";ECS;"Operator, Layanan Utilitas"
"Displayer, Merchandise";AIC;"Penampil, Barang Dagangan"
"Displayer, Merchandise";ARC;"Penampil, Barang Dagangan"
"Displayer, Merchandise";ARE;"Penampil, Barang Dagangan"
"Displayer, Merchandise (ARE)";ERA;#N/A
Display Maker;RAI;Pembuat Layar
Display Maker;RSI;Pembuat Layar
Display Manager;AES;#N/A
Distance Learning Coordinator;ESC;Koordinator Pembelajaran Jarak Jauh
Distribution Manager;ECI;Manajer Distribusi
Distribution Manager (ECI);ICE;#N/A
Distribution Manager (ECI);CIE;#N/A
Distribution Manager (ECI);CEI;#N/A
Distribution Supervisor;ECS;Pengawas Distribusi
District Supervisor;SCA;Pengawas Distrik
District Supervisor;SIE;Pengawas Distrik
District Supervisor;SRA;Pengawas Distrik
Diver;RAI;Penyelam
Diver;RES;Penyelam
Dock Supervisor;RAI;Pengawas Dermaga
Dock Supervisor;RES;Pengawas Dermaga
Dockworker;RAI;Pekerja Dermaga
Dockworker;RIS;Pekerja Dermaga
Document Management Specialist;ECI;Spesialis Manajemen Dokumen
Document Management Specialist (ECI);ICE;#N/A
Document Management Specialist (ECI);CIE;#N/A
Document Management Specialist (ECI);CEI;#N/A
"Drafter, aeronautical";IAC;"Konseptor, aeronautika"
"Drafter, aeronautical";IAE;"Konseptor, aeronautika"
"Drafter, aeronautical";ICA;"Konseptor, aeronautika"
"Drafter, aeronautical";IEA;"Konseptor, aeronautika"
"Drafter, aeronautical";IRC;"Konseptor, aeronautika"
"Drafter, aeronautical (IRC)";CRI;#N/A
"Drafter, aeronautical (IRC)";CIR;#N/A
"Drafter, Architectural";RAI;"Konseptor, aeronautika"
"Drafter, Architectural";RCI;"Konseptor, aeronautika"
"Drafter, Architectural (RCI)";CRI;#N/A
"Drafter, Architectural (RCI)";CIR;#N/A
"Drafter, Chief";IAC;"Konseptor, Ketua"
"Drafter, Chief";IAE;"Konseptor, Ketua"
"Drafter, Chief";ICA;"Konseptor, Ketua"
"Drafter, Chief";ICR;"Konseptor, Ketua"
"Drafter, Chief";IEA;"Konseptor, Ketua"
"Drafter, Chief (ICR)";CRI;#N/A
"Drafter, Chief (ICR)";CIR;#N/A
"Drafter, Detail";RAI;"Konseptor, Detail"
"Drafter, Detail";RIE;"Konseptor, Detail"
"Drafter, Electrical";IAC;"Konseptor, Listrik"
"Drafter, Electrical";IAE;"Konseptor, Listrik"
"Drafter, Electrical";ICA;"Konseptor, Listrik"
"Drafter, Electrical";IEA;"Konseptor, Listrik"
"Drafter, Electrical";IRE;"Konseptor, Listrik"
"Drafter, Electrical (IRE)";SEA;#N/A
"Drafter, Mechanical";IAC;"Konseptor, Mekanis"
"Drafter, Mechanical";IAE;"Konseptor, Mekanis"
"Drafter, Mechanical";ICA;"Konseptor, Mekanis"
"Drafter, Mechanical";IEA;"Konseptor, Mekanis"
"Drafter, Mechanical";IRE;"Konseptor, Mekanis"
"Drafter, Mechanical (IRE)";SEA;#N/A
"Drafter, Structural";IAC;"Konseptor, Struktural"
"Drafter, Structural";IAE;"Konseptor, Struktural"
"Drafter, Structural";ICA;"Konseptor, Struktural"
"Drafter, Structural";IEA;"Konseptor, Struktural"
"Drafter, Structural";IRC;"Konseptor, Struktural"
"Drafter, Structural (IRC)";CRI;#N/A
"Drafter, Structural (IRC)";CIR;#N/A
Drafting and Printed Circuit Design Supervisor;EIC;Pengawas Penyusunan dan Desain Sirkuit Cetak
Drafting and Printed Circuit Design Supervisor (EIC);ICE;#N/A
Drafting and Printed Circuit Design Supervisor (EIC);CIE;#N/A
Drafting and Printed Circuit Design Supervisor (EIC);CEI;#N/A
Drama Coach;AIC;Pelatih Drama
Drama Coach;ARC;Pelatih Drama
Drama Coach;ASE;Pelatih Drama
Dressmaker;RAI;Penjahit
Dressmaker;RSE;Penjahit
Drilling and Production Superintendent;ERI;Pengawas Pengeboran dan Produksi
Driver Ambulance;RAI;Pengemudi Ambulan
Driver Ambulance;RSI;Pengemudi Ambulan
"Driver, Bus";RAI;"Pengemudi, Bis"
"Driver, Bus";RES;"Pengemudi, Bis"
"Driver, Sales ";ESR;"Pengemudi, Penjualan"
"Driver, Truck";RAI;"Pengemudi, Truk"
"Driver, Truck";RCS;"Pengemudi, Truk"
Driving Instructor;SCA;Instruktur Berkendara
Driving Instructor;SER;Instruktur Berkendara
Driving Instructor;SRA;Instruktur Berkendara
Drywall Installer;RAI;Pemasang Drywall
Drywall Installer;RCS;Pemasang Drywall
e-Commerce Project Developer;IAC;Pengembang Proyek e-Commerce
e-Commerce Project Developer;IAE;Pengembang Proyek e-Commerce
e-Commerce Project Developer;ICA;Pengembang Proyek e-Commerce
e-Commerce Project Developer;IEA;Pengembang Proyek e-Commerce
e-Commerce Project Developer;IRC;Pengembang Proyek e-Commerce
e-Commerce Project Developer (IRC);CRI;#N/A
e-Commerce Project Developer (IRC);CIR;#N/A
e-Commerce Specialist;EAC;Spesialis e-Commerce
Economist;IAC;Ahli Ekonomi
Economist;IAE;Ahli Ekonomi
Economist;IAS;Ahli Ekonomi
Economist;ICA;Ahli Ekonomi
Economist;IEA;Ahli Ekonomi
Economist (IAS);AIS;#N/A
"Editor, Book";AES;#N/A
Editorial Assistant ;CAE;Asisten editorial
Editorial Assistant ;CAI;Asisten editorial
Editorial Assistant ;CAR;Asisten editorial
Editorial Assistant ;CAS;Asisten editorial
Editorial Assistant ;CEA;Asisten editorial
Editorial Assistant ;CIA;Asisten editorial
Editorial Assistant ;CSA;Asisten editorial
Editorial Writer;AES;#N/A
"Editor, Journal or Magazine";AES;#N/A
"Editor, Managing";ESA;"Editor, Mengelola"
"Editor, News";AES;#N/A
"Editor, Newspaper";AES;#N/A
"Editor, Story";AIC;"Editor, Cerita"
"Editor, Story";ARC;"Editor, Cerita"
"Editor, Story";ASE;"Editor, Cerita"
"Editor, Technical and Scientific Publications";AIC;"Editor, Publikasi Teknis dan Ilmiah"
"Editor, Technical and Scientific Publications";ARC;"Editor, Publikasi Teknis dan Ilmiah"
"Editor, Technical and Scientific Publications";ASE;"Editor, Publikasi Teknis dan Ilmiah"
"Editor, Web Site";CAE;"Editor, Web Site"
"Editor, Web Site";CAI;"Editor, Web Site"
"Editor, Web Site";CAR;"Editor, Web Site"
"Editor, Web Site";CAS;"Editor, Web Site"
"Editor, Web Site";CEA;"Editor, Web Site"
"Editor, Web Site";CIA;"Editor, Web Site"
"Editor, Web Site";CSA;"Editor, Web Site"
Educational Program Director;ESC;Direktur Program Pendidikan
"Educational Programming Director, Radio and TV";ESC;"Direktur Program Pendidikan, Radio dan TV"
Educational Specialist;EIS;Spesialis Pendidikan
Education Director;ESR;Direktorat Pendidikan
"Education, Training and Library Worker";IAC;"Pekerja Pendidikan, Pelatihan dan Perpustakaan"
"Education, Training and Library Worker";IAE;"Pekerja Pendidikan, Pelatihan dan Perpustakaan"
"Education, Training and Library Worker";ICA;"Pekerja Pendidikan, Pelatihan dan Perpustakaan"
"Education, Training and Library Worker";IEA;"Pekerja Pendidikan, Pelatihan dan Perpustakaan"
"Education, Training and Library Worker";ISE;"Pekerja Pendidikan, Pelatihan dan Perpustakaan"
Electrical Appliance Repairer;RAI;Tukang reparasi Peralatan Listrik
Electrical Appliance Repairer;RSE;Tukang reparasi Peralatan Listrik
Electrical Engineering Technologist;RAI;"Teknisi elektroteknika
"
Electrical Engineering Technologist;RIC;"Teknisi elektroteknika
"
Electrical Engineering Technologist (RIC);CRI;#N/A
Electrical Engineering Technologist (RIC);CIR;#N/A
Electrical Technician;RAI;Teknisi Listrik
Electrical Technician;RIE;Teknisi Listrik
Electrician Assistant;RAI;AsistenTeknisi Listrik
Electrician Assistant;RCE;AsistenTeknisi Listrik
"Electrician, Film";ESR;"Teknisi Listrik, Film "
Electrician Supervisor;RAI;PengawasTeknisi Listrik
Electrician Supervisor;RES;PengawasTeknisi Listrik
Electric Motor Repairer;RAI;Tukang Reparasi Motor Listrik
Electric Motor Repairer;RIE;Tukang Reparasi Motor Listrik
Electric Power Superintendent ;ECI;Pengawas Tenaga Listrik
Electric Power Superintendent  (ECI);ICE;#N/A
Electric Power Superintendent  (ECI);CIE;#N/A
Electric Power Superintendent  (ECI);CEI;#N/A
Electrocardiograph Technician;RAI;Teknisi Elektrokardiograf
Electrocardiograph Technician;RCI;Teknisi Elektrokardiograf
Electrocardiograph Technician (RCI);CRI;#N/A
Electrocardiograph Technician (RCI);CIR;#N/A
Electroencephalographic Technologist;RAI;Teknolog Electroencephalographic
Electroencephalographic Technologist;RCS;Teknolog Electroencephalographic
Electrologist;CAE;Ahli elektrologi
Electrologist;CAI;Ahli elektrologi
Electrologist;CAR;Ahli elektrologi
Electrologist;CAS;Ahli elektrologi
Electrologist;CEA;Ahli elektrologi
Electrologist;CRE;Ahli elektrologi
Electrologist;CSA;Ahli elektrologi
Electromechanical Engineering Technologist;RAI;Teknisi Mesin Elektromekanis
Electromechanical Engineering Technologist;RIC;Teknisi Mesin Elektromekanis
Electromechanical Engineering Technologist (RIC);CRI;#N/A
Electromechanical Engineering Technologist (RIC);CIR;#N/A
Electro-Mechanical Technician;RAI;Teknisi Elektro-Mekanik
Electro-Mechanical Technician;RIE;Teknisi Elektro-Mekanik
Electronic Home Entertainment;RAI;Penghibur Rumah Listrik
Electronic Home Entertainment;REI;Penghibur Rumah Listrik
Electronics Engineering Technologist;RAI;Teknologis Mesin Listrik
Electronics Engineering Technologist;RIC;Teknologis Mesin Listrik
Electronics Engineering Technologist (RIC);CRI;#N/A
Electronics Engineering Technologist (RIC);CIR;#N/A
Electronics Processing Supervisor;ESR;Pengawas Pemrosesan Listrik
Electronics Technician;IAC;Teknisi Listrik
Electronics Technician;IAE;Teknisi Listrik
Electronics Technician;ICA;Teknisi Listrik
Electronics Technician;IEA;Teknisi Listrik
Electronics Technician;IRE;Teknisi Listrik
Electronics Technician (IRE);SEA;#N/A
Eletrician;RAI;Ahli Listrik
Eletrician;RIE;Ahli Listrik
Elevator Techician;RAI;Teknisi Lift
Elevator Techician;RIS;Teknisi Lift
Embalmer;RAI;Pembalsem
Embalmer;RCI;Pembalsem
Embalmer (RCI);CRI;#N/A
Embalmer (RCI);CIR;#N/A
Emergency Medical Technician (EMT);RAI;Teknisi Medis Darurat (EMT)
Emergency Medical Technician (EMT);RSI;Teknisi Medis Darurat (EMT)
Employee Relations Specialist;SCA;Spesialis Hubungan Karyawan
Employee Relations Specialist;SER;Spesialis Hubungan Karyawan
Employee Relations Specialist;SRA;Spesialis Hubungan Karyawan
Employer Relations Representative;ESC;Perwakilan Hubungan Majikan
Employment Clerk;CAE;Petugas Pekerjaan
Employment Clerk;CAI;Petugas Pekerjaan
Employment Clerk;CAR;Petugas Pekerjaan
Employment Clerk;CAS;Petugas Pekerjaan
Employment Clerk;CEA;Petugas Pekerjaan
Employment Clerk;CES;Petugas Pekerjaan
Employment Clerk;CSA;Petugas Pekerjaan
Employment Interviewer;SCA;Pewawancara Kerja
Employment Interviewer;SCE;Pewawancara Kerja
Employment Interviewer;SRA;Pewawancara Kerja
Employmet Manager;ESC;Manajer Pewawancara
Endodontist;IAC;Dokter gigi spesialis Konservasi Gigi
Endodontist;IAE;Dokter gigi spesialis Konservasi Gigi
Endodontist;ICA;Dokter gigi spesialis Konservasi Gigi
Endodontist;IEA;Dokter gigi spesialis Konservasi Gigi
Endodontist;ISE;Dokter gigi spesialis Konservasi Gigi
Endoscopy Technician;RAI;Teknisi Endoskopi
Endoscopy Technician;RIC;Teknisi Endoskopi
Endoscopy Technician (RIC);CRI;#N/A
Endoscopy Technician (RIC);CIR;#N/A
Energy Broker;ECS;Makelar Energi
Energy Conservation Representative;RAI;Perwakilan Konservasi Energi
Energy Conservation Representative;RES;Perwakilan Konservasi Energi
Energy Control Officer;ESR;Petugas Kontrol Energi
"Engineer, Aerospace";IAC;"Insinyur, Dirgantara"
"Engineer, Aerospace";IAE;"Insinyur, Dirgantara"
"Engineer, Aerospace";ICA;"Insinyur, Dirgantara"
"Engineer, Aerospace";IEA;"Insinyur, Dirgantara"
"Engineer, Aerospace";IRE;"Insinyur, Dirgantara"
"Engineer, Aerospace (IRE)";SEA;#N/A
"Engineer, Agricultural";IAC;"Insinyur, Pertanian"
"Engineer, Agricultural";IAE;"Insinyur, Pertanian"
"Engineer, Agricultural";ICA;"Insinyur, Pertanian"
"Engineer, Agricultural";IEA;"Insinyur, Pertanian"
"Engineer, Agricultural";IRE;"Insinyur, Pertanian"
"Engineer, Agricultural (IRE)";SEA;#N/A
"Engineer, Airport";IAC;"Insinyur, Bandara"
"Engineer, Airport";IAE;"Insinyur, Bandara"
"Engineer, Airport";ICA;"Insinyur, Bandara"
"Engineer, Airport";IEA;"Insinyur, Bandara"
"Engineer, Airport";ISR;"Insinyur, Bandara"
"Engineer, Automotive";RAI;"Insinyur, Otomotif"
"Engineer, Automotive";RIE;"Insinyur, Otomotif"
"Engineer, Biochemical";IAC;"Insinyur, Biokimia"
"Engineer, Biochemical";IAE;"Insinyur, Biokimia"
"Engineer, Biochemical";ICA;"Insinyur, Biokimia"
"Engineer, Biochemical";IEA;"Insinyur, Biokimia"
"Engineer, Biochemical";IRE;"Insinyur, Biokimia"
"Engineer, Biochemical (IRE)";SEA;#N/A
"Engineer, Biomedical";IAC;"Insinyur, Biokimia"
"Engineer, Biomedical";IAE;"Insinyur, Biokimia"
"Engineer, Biomedical";ICA;"Insinyur, Biokimia"
"Engineer, Biomedical";IEA;"Insinyur, Biokimia"
"Engineer, Biomedical";IRE;"Insinyur, Biokimia"
"Engineer, Biomedical (IRE)";SEA;#N/A
"Engineer, Ceramic Design";IAC;"Insinyur, Desain Keramik"
"Engineer, Ceramic Design";IAE;"Insinyur, Desain Keramik"
"Engineer, Ceramic Design";ICA;"Insinyur, Desain Keramik"
"Engineer, Ceramic Design";IEA;"Insinyur, Desain Keramik"
"Engineer, Ceramic Design";IRE;"Insinyur, Desain Keramik"
"Engineer, Ceramic Design (IRE)";SEA;#N/A
"Engineer, Chemical";IAC;"Insinyur, Kimia"
"Engineer, Chemical";IAE;"Insinyur, Kimia"
"Engineer, Chemical";ICA;"Insinyur, Kimia"
"Engineer, Chemical";IEA;"Insinyur, Kimia"
"Engineer, Chemical";IRE;"Insinyur, Kimia"
"Engineer, Chemical Equipmet Sales";ERI;"Insinyur, Penjualan Peralatan Kimia"
"Engineer, Chemical (IRE)";SEA;#N/A
"Engineer, Chief";IAC;"Insinyur, Ketua"
"Engineer, Chief";IAE;"Insinyur, Ketua"
"Engineer, Chief";ICA;"Insinyur, Ketua"
"Engineer, Chief";IEA;"Insinyur, Ketua"
"Engineer, Chief";IER;"Insinyur, Ketua"
"Engineer, Civil";IAC;"Insinyur, Sipil"
"Engineer, Civil";IAE;"Insinyur, Sipil"
"Engineer, Civil";ICA;"Insinyur, Sipil"
"Engineer, Civil";IEA;"Insinyur, Sipil"
"Engineer, Civil";IRE;"Insinyur, Sipil"
"Engineer, Civil (IRE)";SEA;#N/A
"Engineer, Computer Systems Hardware";RAI;"Insinyur, Perangkat Keras Sistem Komputer"
"Engineer, Computer Systems Hardware";RIE;"Insinyur, Perangkat Keras Sistem Komputer"
"Engineer, Electrical";IAC;"Insinyur, Listrik"
"Engineer, Electrical";IAE;"Insinyur, Listrik"
"Engineer, Electrical";ICA;"Insinyur, Listrik"
"Engineer, Electrical";IEA;"Insinyur, Listrik"
"Engineer, Electrical";IRE;"Insinyur, Listrik"
"Engineer, Electrical (IRE)";SEA;#N/A
"Engineer, Electronics";RAI;"Insinyur, Listrik"
"Engineer, Electronics";RIS;"Insinyur, Listrik"
"Engineer, Environmental";IAC;"Insinyur, Lingkungan"
"Engineer, Environmental";IAE;"Insinyur, Lingkungan"
"Engineer, Environmental";ICA;"Insinyur, Lingkungan"
"Engineer, Environmental";IEA;"Insinyur, Lingkungan"
"Engineer, Environmental";IRE;"Insinyur, Lingkungan"
"Engineer, Environmental (IRE)";SEA;#N/A
"Engineer, Fire Prevention Protection";CAE;"Insinyur, Perlindungan Pencegahan Kebakaran"
"Engineer, Fire Prevention Protection";CAI;"Insinyur, Perlindungan Pencegahan Kebakaran"
"Engineer, Fire Prevention Protection";CAR;"Insinyur, Perlindungan Pencegahan Kebakaran"
"Engineer, Fire Prevention Protection";CAS;"Insinyur, Perlindungan Pencegahan Kebakaran"
"Engineer, Fire Prevention Protection";CEA;"Insinyur, Perlindungan Pencegahan Kebakaran"
"Engineer, Fire Prevention Protection";CES;"Insinyur, Perlindungan Pencegahan Kebakaran"
"Engineer, Fire Prevention Protection";CSA;"Insinyur, Perlindungan Pencegahan Kebakaran"
"Engineer, Flight";RAI;"Insinyur, Penerbangan"
"Engineer, Flight";RES;"Insinyur, Penerbangan"
"Engineer, Health and Safety";IAC;"Insinyur, Kesehatan dan Keselamatan"
"Engineer, Health and Safety";IAE;"Insinyur, Kesehatan dan Keselamatan"
"Engineer, Health and Safety";ICA;"Insinyur, Kesehatan dan Keselamatan"
"Engineer, Health and Safety";IEA;"Insinyur, Kesehatan dan Keselamatan"
"Engineer, Health and Safety";ISR;"Insinyur, Kesehatan dan Keselamatan"
"Engineer, Hghway Administrative";IAC;"Insinyur, Administrasi Jalan Raya"
"Engineer, Hghway Administrative";IAE;"Insinyur, Administrasi Jalan Raya"
"Engineer, Hghway Administrative";ICA;"Insinyur, Administrasi Jalan Raya"
"Engineer, Hghway Administrative";IEA;"Insinyur, Administrasi Jalan Raya"
"Engineer, Hghway Administrative";IEC;"Insinyur, Administrasi Jalan Raya"
"Engineer, Hghway Administrative (IEC)";ICE;#N/A
"Engineer, Hghway Administrative (IEC)";CIE;#N/A
"Engineer, Hghway Administrative (IEC)";CEI;#N/A
"Engineer, Human Factors/Engronomist";IAC;"Insinyur, Faktor Manusia / Ergonomi"
"Engineer, Human Factors/Engronomist";IAE;"Insinyur, Faktor Manusia / Ergonomi"
"Engineer, Human Factors/Engronomist";ICA;"Insinyur, Faktor Manusia / Ergonomi"
"Engineer, Human Factors/Engronomist";IEA;"Insinyur, Faktor Manusia / Ergonomi"
"Engineer, Human Factors/Engronomist";IRS;"Insinyur, Faktor Manusia / Ergonomi"
"Engineer, Industrial";EIR;"Insinyur, Industri"
"Engineer, Industrial Health and Safety";IAC;"Insinyur, Kesehatan dan Keselamatan Industri"
"Engineer, Industrial Health and Safety";IAE;"Insinyur, Kesehatan dan Keselamatan Industri"
"Engineer, Industrial Health and Safety";ICA;"Insinyur, Kesehatan dan Keselamatan Industri"
"Engineer, Industrial Health and Safety";IEA;"Insinyur, Kesehatan dan Keselamatan Industri"
"Engineer, Industrial Health and Safety";ISR;"Insinyur, Kesehatan dan Keselamatan Industri"
"Engineering Assistant, Mechanical Equipment";IAC;"Asisten Teknik Mesin, Peralatan Mekanik"
"Engineering Assistant, Mechanical Equipment";IAE;"Asisten Teknik Mesin, Peralatan Mekanik"
"Engineering Assistant, Mechanical Equipment";ICA;"Asisten Teknik Mesin, Peralatan Mekanik"
"Engineering Assistant, Mechanical Equipment";IEA;"Asisten Teknik Mesin, Peralatan Mekanik"
"Engineering Assistant, Mechanical Equipment";IRC;"Asisten Teknik Mesin, Peralatan Mekanik"
"Engineering Assistant, Mechanical Equipment (IRC)";CRI;#N/A
"Engineering Assistant, Mechanical Equipment (IRC)";CIR;#N/A
"Engineering Manager, Electronics";IAC;"Manajer Mesin, Elektronik"
"Engineering Manager, Electronics";IAE;"Manajer Mesin, Elektronik"
"Engineering Manager, Electronics";ICA;"Manajer Mesin, Elektronik"
"Engineering Manager, Electronics";IEA;"Manajer Mesin, Elektronik"
"Engineering Manager, Electronics";IES;"Manajer Mesin, Elektronik"
"Engineering Technician, Civil";RAI;"Teknisi Mesin, Sipil"
"Engineering Technician, Civil";RIC;"Teknisi Mesin, Sipil"
"Engineering Technician, Civil (RIC)";CRI;#N/A
"Engineering Technician, Civil (RIC)";CIR;#N/A
"Engineer, Irrigation";IAC;"Insinyur, Irigasi"
"Engineer, Irrigation";IAE;"Insinyur, Irigasi"
"Engineer, Irrigation";ICA;"Insinyur, Irigasi"
"Engineer, Irrigation";IEA;"Insinyur, Irigasi"
"Engineer, Irrigation";IRE;"Insinyur, Irigasi"
"Engineer, Irrigation (IRE)";SEA;#N/A
"Engineer, Locomotive";RAI;"Insinyur, Lokomotif"
"Engineer, Locomotive";RES;"Insinyur, Lokomotif"
"Engineer, Manufacturing";RAI;"Insinyur, Manufaktur"
"Engineer, Manufacturing";REI;"Insinyur, Manufaktur"
"Engineer, Marine";IAC;"Insinyur, Marinir"
"Engineer, Marine";IAE;"Insinyur, Marinir"
"Engineer, Marine";ICA;"Insinyur, Marinir"
"Engineer, Marine";IEA;"Insinyur, Marinir"
"Engineer, Marine";IRE;"Insinyur, Marinir"
"Engineer, Marine (IRE)";SEA;#N/A
"Engineer, Materials";RAI;"Insinyur, Material"
"Engineer, Materials";REI;"Insinyur, Material"
"Engineer, Mechanical";RAI;"Insinyur, Mekanik"
"Engineer, Mechanical";RIS;"Insinyur, Mekanik"
"Engineer, Mechatronics";IAC;"Insinyur, Mekatronika"
"Engineer, Mechatronics";IAE;"Insinyur, Mekatronika"
"Engineer, Mechatronics";ICA;"Insinyur, Mekatronika"
"Engineer, Mechatronics";ICR;"Insinyur, Mekatronika"
"Engineer, Mechatronics";IEA;"Insinyur, Mekatronika"
"Engineer, Mechatronics (ICR)";CRI;#N/A
"Engineer, Mechatronics (ICR)";CIR;#N/A
"Engineer, Microsystems";IAC;"Insinyur, Sistem Mikro"
"Engineer, Microsystems";IAE;"Insinyur, Sistem Mikro"
"Engineer, Microsystems";ICA;"Insinyur, Sistem Mikro"
"Engineer, Microsystems";IEA;"Insinyur, Sistem Mikro"
"Engineer, Microsystems";IRC;"Insinyur, Sistem Mikro"
"Engineer, Microsystems (IRC)";CRI;#N/A
"Engineer, Microsystems (IRC)";CIR;#N/A
"Engineer, Nanosystems";IAC;"Insinyur, Sistem Nano"
"Engineer, Nanosystems";IAE;"Insinyur, Sistem Nano"
"Engineer, Nanosystems";ICA;"Insinyur, Sistem Nano"
"Engineer, Nanosystems";IEA;"Insinyur, Sistem Nano"
"Engineer, Nanosystems";IRC;"Insinyur, Sistem Nano"
"Engineer, Nanosystems (IRC)";CRI;#N/A
"Engineer, Nanosystems (IRC)";CIR;#N/A
"Engineer, Nuclear";IAC;"Insinyur, Nuklir"
"Engineer, Nuclear";IAE;"Insinyur, Nuklir"
"Engineer, Nuclear";ICA;"Insinyur, Nuklir"
"Engineer, Nuclear";IEA;"Insinyur, Nuklir"
"Engineer, Nuclear";IRE;"Insinyur, Nuklir"
"Engineer, Nuclear (IRE)";SEA;#N/A
"Engineer, Operating";RAI;"Insinyur, Operasi"
"Engineer, Operating";RIS;"Insinyur, Operasi"
"Engineer, Optical";RAI;"Insinyur, Optik"
"Engineer, Optical";RIC;"Insinyur, Optik"
"Engineer, Optical (RIC)";CRI;#N/A
"Engineer, Optical (RIC)";CIR;#N/A
"Engineer, Part";RAI;"Insinyur, Daerah"
"Engineer, Part";RIE;"Insinyur, Daerah"
"Engineer, Petroleum";RAI;"Insinyur, Minyak Bumi"
"Engineer, Petroleum";RIE;"Insinyur, Minyak Bumi"
"Engineer, Photogrammetic";IAC;"Insinyur, Fotogrametri"
"Engineer, Photogrammetic";IAE;"Insinyur, Fotogrametri"
"Engineer, Photogrammetic";ICA;"Insinyur, Fotogrametri"
"Engineer, Photogrammetic";IEA;"Insinyur, Fotogrametri"
"Engineer, Photogrammetic";IEC;"Insinyur, Fotogrametri"
"Engineer, Photogrammetic (IEC)";ICE;#N/A
"Engineer, Photogrammetic (IEC)";CIE;#N/A
"Engineer, Photogrammetic (IEC)";CEI;#N/A
"Engineer, Photographic";IAC;"Insinyur, Fotografi"
"Engineer, Photographic";IAE;"Insinyur, Fotografi"
"Engineer, Photographic";ICA;"Insinyur, Fotografi"
"Engineer, Photographic";IEA;"Insinyur, Fotografi"
"Engineer, Photographic";ISE;"Insinyur, Fotografi"
"Engineer, Pollution Control";IAC;"Insinyur, Pengendalian Polusi"
"Engineer, Pollution Control";IAE;"Insinyur, Pengendalian Polusi"
"Engineer, Pollution Control";ICA;"Insinyur, Pengendalian Polusi"
"Engineer, Pollution Control";IEA;"Insinyur, Pengendalian Polusi"
"Engineer, Pollution Control";IEC;"Insinyur, Pengendalian Polusi"
"Engineer, Pollution Control (IEC)";ICE;#N/A
"Engineer, Pollution Control (IEC)";CIE;#N/A
"Engineer, Pollution Control (IEC)";CEI;#N/A
"Engineer, Procurement";ECI;"Insinyur, Pengadaan"
"Engineer, Procurement (ECI)";ICE;#N/A
"Engineer, Procurement (ECI)";CIE;#N/A
"Engineer, Procurement (ECI)";CEI;#N/A
"Engineer, Production";EIC;"Insinyur, Produksi"
"Engineer, Production (EIC)";ICE;#N/A
"Engineer, Production (EIC)";CIE;#N/A
"Engineer, Production (EIC)";CEI;#N/A
"Engineer, Robotics";IAC;"Insinyur, Robotika"
"Engineer, Robotics";IAE;"Insinyur, Robotika"
"Engineer, Robotics";ICA;"Insinyur, Robotika"
"Engineer, Robotics";IEA;"Insinyur, Robotika"
"Engineer, Robotics";IRC;"Insinyur, Robotika"
"Engineer, Robotics (IRC)";CRI;#N/A
